product_name,month,year,date,category,quantity,price,cost,total_cost,revenue,profit,,,,,,,,
Latte,2,2020,2-2020,Presso,16,"40,000",7744,123904,640000,516096,,,,,,,,
Ca phe matcha,2,2020,2-2020,Presso,13,"45,000",7502,97526,585000,487474,,,,,,,,
Sua Da,2,2020,2-2020,Presso,23,"25,000",5190,119370,575000,455630,,,,,,,,
Matcha Latte,2,2020,2-2020,Non - Presso,15,"35,000",6014,90210,525000,434790,,,,,,,,
Ca phe u lanh cam mat ong,2,2020,2-2020,Presso,11,"45,000",9750,107250,495000,387750,,,,,,,,
Tra len men kombucha vai,2,2020,2-2020,Non - Presso,11,"45,000",12357,135927,495000,359073,,,,,,,,
Ca phe Caramel,2,2020,2-2020,Presso,9,"45,000",7744,69696,405000,335304,,,,,,,,
Soda tac muoi,2,2020,2-2020,Non - Presso,8,"40,000",8300,66400,320000,253600,,,,,,,,
Ca phe sua hanh nhan,2,2020,2-2020,Presso,5,"40,000",17114,85570,200000,114430,,,,,,,,
Bac Xiu,2,2020,2-2020,Presso,5,"25,000",6265,31325,125000,93675,,,,,,,,
Cappuccino,2,2020,2-2020,Presso,2,"40,000",7744,15488,80000,64512,,,,,,,,
Ca phe sua tuoi dalgona,2,2020,2-2020,Presso,1,"45,000",7677,7677,45000,37323,,,,,,,,
Detox,2,"2,020",2-2020,Non - Presso,1,25000,4971,4971,25000,20029,,,,,,,,
Americano,2,"2,020",2-2020,Presso,1,"18,000",2500,2500,18000,15500,,,,,,,,
them shot espresso / extra shot,2,"2,020",2-2020,Presso,3,"5,000",2500,7500,15000,7500,,,,,,,,
Ca phe sua tuoi dalgona,3,"2,020",3-2020,Presso,173,"45,000",7677,1328121,7785000,6456879,,,,,,,,
Tra len men kombucha vai,3,"2,020",3-2020,Non - Presso,51,"45,000",12357,630207,2295000,1664793,,,,,,,,
Ca phe sua hanh nhan,3,2020,3-2020,Presso,47,"45,000",17114,804358,2115000,1310642,,,,,,,,
Matcha Latte,3,"2,020",3-2020,Non - Presso,42,"35,000",6014,252588,1470000,1217412,,,,,,,,
Ca phe Caramel,3,"2,020",3-2020,Presso,30,"45,000",7744,232320,1350000,1117680,,,,,,,,
Ca phe u lanh cam mat ong,3,2020,3-2020,Presso,23,"45,000",9750,224250,1035000,810750,,,,,,,,
Soda tac muoi,3,"2,020",3-2020,Non - Presso,25,"40,000",8300,207500,1000000,792500,,,,,,,,
Sua Da,3,"2,020",3-2020,Presso,39,"25,000",5190,202410,975000,772590,,,,,,,,
Ca phe matcha,3,"2,020",3-2020,Presso,20,"45,000",7502,150040,900000,749960,,,,,,,,
Tra Vai,3,"2,020",3-2020,Non - Presso,44,"20,000",10608,466752,880000,413248,,,,,,,,
Latte,3,"2,020",3-2020,Presso,21,40000,7744,162624,840000,677376,,,,,,,,
Detox,3,"2,020",3-2020,Non - Presso,28,25000,4971,139188,700000,560812,,,,,,,,
Bac Xiu,3,"2,020",3-2020,Presso,25,"25,000",6265,156625,625000,468375,,,,,,,,
Cappuccino,3,"2,020",3-2020,Presso,10,"40,000",7744,77440,400000,322560,,,,,,,,
Ca phe sua hanh nhan,3,2020,3-2020,Presso,6,"40,000",17114,102684,240000,137316,,,,,,,,
Da me,3,"2,020",3-2020,Non - Presso,8,"25,000",17640,141120,200000,58880,,,,,,,,
Americano,3,"2,020",3-2020,Presso,10,"18,000",2500,25000,180000,155000,,,,,,,,
Mocha,3,"2,020",3-2020,Presso,4,"40,000",8028,32112,160000,127888,,,,,,,,
Granita,3,"2,020",3-2020,Presso,2,"45,000",0,0,90000,90000,,,,,,,,
Den Da,3,"2,020",3-2020,Presso,5,"18,000",4150,20750,90000,69250,,,,,,,,
Tra Sua Gung,3,2020,3-2020,Non - Presso,3,"25,000",0,0,75000,75000,,,,,,,,
Cam vat,3,2020,3-2020,Non - Presso,2,"25,000",9133,18266,50000,31734,,,,,,,,
them shot espresso / extra shot,3,2020,3-2020,Presso,5,5000,2500,12500,25000,12500,,,,,,,,
Ca phe sua tuoi dalgona,4,2020,4-2020,Presso,221,45000,7677,1696617,9945000,8248383,,,,,,,,
Tra len men kombucha vai,4,2020,4-2020,Non - Presso,73,45000,12357,902061,3285000,2382939,,,,,,,,
Ca phe sua chuoi dalgona,4,2020,4-2020,Presso,40,"45,000",15269,610760,1800000,1189240,,,,,,,,
Ca phe sua matcha Dalgona,4,2020,4-2020,Presso,35,"45,000",8471,296485,1575000,1278515,,,,,,,,
Ca phe Caramel,4,2020,4-2020,Presso,30,"45,000",7744,232320,1350000,1117680,,,,,,,,
Sua Da,4,2020,4-2020,Presso,49,"25,000",5190,254310,1225000,970690,,,,,,,,
Ca phe sua hanh nhan,4,2020,4-2020,Presso,27,"45,000",17114,462078,1215000,752922,,,,,,,,
Ca phe matcha,4,2020,4-2020,Presso,22,"45,000",7502,165044,990000,824956,,,,,,,,
Tra Vai,4,2020,4-2020,Non - Presso,39,"20,000",10608,413712,780000,366288,,,,,,,,
Latte,4,2020,4-2020,Presso,17,"40,000",7744,131648,680000,548352,,,,,,,,
Soda tac muoi,4,2020,4-2020,Non - Presso,12,"40,000",8300,99600,480000,380400,,,,,,,,
Ca phe u lanh cam mat ong,4,2020,4-2020,Presso,10,"45,000",9750,97500,450000,352500,,,,,,,,
Matcha Latte,4,2020,4-2020,Non - Presso,9,"35,000",6014,54126,315000,260874,,,,,,,,
Bac Xiu,4,2020,4-2020,Presso,10,25000,6265,62650,250000,187350,,,,,,,,
Choco Green Tea,4,2020,4-2020,Non - Presso,5,45000,9829,49145,225000,175855,,,,,,,,
Cappuccino,4,2020,4-2020,Presso,5,40000,7744,38720,200000,161280,,,,,,,,
Americano,4,2020,4-2020,Presso,6,"25,000",2500,15000,150000,135000,,,,,,,,
Detox,4,2020,4-2020,Non - Presso,6,"25,000",4971,29826,150000,120174,,,,,,,,
Mocha,4,2020,4-2020,Presso,3,"40,000",8028,24084,120000,95916,,,,,,,,
Den Da,4,2020,4-2020,Presso,4,"18,000",4150,16600,72000,55400,,,,,,,,
Americano,4,2020,4-2020,Presso,4,"18,000",2500,10000,72000,62000,,,,,,,,
Da me,4,2020,4-2020,Non - Presso,1,"25,000",17640,17640,25000,7360,,,,,,,,
them shot espresso / extra shot,4,2020,4-2020,Presso,1,"5,000",2500,2500,5000,2500,,,,,,,,
Ca phe sua tuoi dalgona,5,2020,5-2020,Presso,179,"45,000",7677,1374183,8055000,6680817,,,,,,,,
Ca phe sua chuoi dalgona,5,2020,5-2020,Presso,91,"45,000",15269,1389479,4095000,2705521,,,,,,,,
Ca phe sua matcha Dalgona,5,2020,5-2020,Presso,78,"45,000",8471,660738,3510000,2849262,,,,,,,,
Tra len men kombucha vai,5,2020,5-2020,Non - Presso,57,"45,000",12357,704349,2565000,1860651,,,,,,,,
Ca phe sua hanh nhan,5,2020,5-2020,Presso,43,"45,000",17114,735902,1935000,1199098,,,,,,,,
Ca phe Caramel,5,2020,5-2020,Presso,40,"45,000",7744,309760,1800000,1490240,,,,,,,,
Ca phe u lanh cam mat ong,5,2020,5-2020,Presso,37,45000,9750,360750,1665000,1304250,,,,,,,,
Latte,5,2020,5-2020,Presso,29,40000,7744,224576,1160000,935424,,,,,,,,
Sua Da,5,2020,5-2020,Presso,45,"25,000",5190,233550,1125000,891450,,,,,,,,
Bac Xiu,5,2020,5-2020,Presso,42,"25,000",6265,263130,1050000,786870,,,,,,,,
Tra Vai,5,2020,5-2020,Non - Presso,45,"20,000",10608,477360,900000,422640,,,,,,,,
Ca phe matcha,5,2020,5-2020,Presso,15,"45,000",7502,112530,675000,562470,,,,,,,,
Choco Green Tea,5,2020,5-2020,Non - Presso,13,"45,000",9829,127777,585000,457223,,,,,,,,
Detox,5,2020,5-2020,Non - Presso,22,"25,000",4971,109362,550000,440638,,,,,,,,
Matcha Latte,5,2020,5-2020,Non - Presso,14,"35,000",6014,84196,490000,405804,,,,,,,,
Soda tac muoi,5,2020,5-2020,Non - Presso,8,"40,000",8300,66400,320000,253600,,,,,,,,
Cappuccino,5,2020,5-2020,Presso,6,"40,000",7744,46464,240000,193536,,,,,,,,
Mocha,5,2020,5-2020,Presso,5,"40,000",8028,40140,200000,159860,,,,,,,,
Den Da,5,2020,5-2020,Presso,10,"18,000",4150,41500,180000,138500,,,,,,,,
Da me,5,2020,5-2020,Non - Presso,6,"25,000",17640,105840,150000,44160,,,,,,,,
Americano,5,2020,5-2020,Presso,4,"25,000",2500,10000,100000,90000,,,,,,,,
Doi qua sua hat / switch to almond milk,5,2020,5-2020,Non- Presso,18,"5,000",7056,127008,90000,-37008,,,,,,,,
Hom nay toi buon,5,2020,5-2020,Presso,1,"80,000",0,0,80000,80000,,,,,,,,
them shot espresso / extra shot,5,2020,5-2020,Presso,6,5000,2500,15000,30000,15000,,,,,,,,
Ca phe sua tuoi dalgona,6,2020,6-2020,Presso,110,45000,7677,844470,4950000,4105530,,,,,,,,
Ca phe sua chuoi dalgona,6,2020,6-2020,Presso,72,45000,15269,1099368,3240000,2140632,,,,,,,,
Ca phe u lanh cam mat ong,6,2020,6-2020,Presso,60,45000,9750,585000,2700000,2115000,,,,,,,,
Ca phe sua matcha Dalgona,6,2020,6-2020,Presso,57,45000,8471,482847,2565000,2082153,,,,,,,,
Ca phe sua hanh nhan,6,2020,6-2020,Presso,39,45000,17114,667446,1755000,1087554,,,,,,,,
Tra len men kombucha vai,6,2020,6-2020,Non - Presso,38,45000,12357,469566,1710000,1240434,,,,,,,,
Sua Da,6,2020,6-2020,Presso,58,25000,5190,301020,1450000,1148980,,,,,,,,
Ca phe Caramel,6,2020,6-2020,Presso,27,45000,7744,209088,1215000,1005912,,,,,,,,
Tra Vai,6,2020,6-2020,Non - Presso,51,20000,10608,541008,1020000,478992,,,,,,,,
