product_name,month,year,date,category,quantity,price,cost,total_cost,revenue,profit
Ca phe sua tuoi dalgona (size M),1,2021,21-Jan,Presso,65,"55,000",10001,650065,3575000,2924935
Sua Da,1,2021,21-Jan,Presso,126,"25,000",5190,653940,3150000,2496060
Bac Xiu,1,2021,21-Jan,Presso,119,"25,000",6265,745535,2975000,2229465
Matcha Latte (size M),1,2021,21-Jan,Non - Presso,48,"50,000",7048,338304,2400000,2061696
Ca phe sua tuoi dalgona,1,2021,21-Jan,Presso,42,"45,000",7677,322434,1890000,1567566
Ca phe sua chuoi dalgona,1,2021,21-Jan,Presso,41,"45,000",15269,626029,1845000,1218971
Ca phe sua hanh nhan (size M),1,2021,21-Jan,Presso,33,"55,000",19892,656436,1815000,1158564
Tra vai mo muoi,1,2021,21-Jan,Non - Presso,50,"35,000",3668,183400,1750000,1566600
Ca phe u lanh cam mat ong (size M),1,2021,21-Jan,Presso,31,"55,000",11976,371256,1705000,1333744
Bac Xiu (size M),1,2021,21-Jan,Presso,44,"35,000",7405,325820,1540000,1214180
Tra vai mo muoi (size M),1,2021,21-Jan,Non - Presso,34,"45,000",9000,306000,1530000,1224000
Tra len men kombucha vai (size M),1,2021,21-Jan,Non - Presso,26,"55,000",13320,346320,1430000,1083680
Ca phe sua chuoi dalgona (size M),1,2021,21-Jan,Presso,25,55000,18246,456150,1375000,918850
Sua Da (size M),1,2021,21-Jan,Presso,34,"35,000",6469,219946,1190000,970054
Matcha Latte,1,2021,21-Jan,Non - Presso,27,"40,000",6014,162378,1080000,917622
Ca phe sua hanh nhan va dua (size M),1,2021,21-Jan,Presso,18,"60,000",20306,365508,1080000,714492
Ca phe sua matcha Dalgona,1,2021,21-Jan,Presso,21,"45,000",8471,177891,945000,767109
Ca phe u lanh tac muoi (size M),1,2021,21-Jan,Presso,16,"55,000",6710,107360,880000,772640
Tra len men kombucha vai,1,2021,21-Jan,Non - Presso,19,"45,000",12357,234783,855000,620217
Ca phe sua dua va que (size M),1,2021,21-Jan,Presso,12,"60,000",11653,139836,720000,580164
Biscotti (Size S - 90gr),1,2021,21-Jan,Cookie,13,"55,000",31500,409500,715000,305500
Tra sa vai,1,2021,21-Jan,Non - Presso,20,"35,000",5786,115720,700000,584280
Ca phe sua hanh nhan,1,2021,21-Jan,Presso,14,"45,000",17114,239596,630000,390404
Combo Kombucha & 50gr Choco Crinkles,1,2021,21-Jan,Combo,9,"70,000",23820,214380,630000,415620
Ca phe sua matcha Dalgona (size M),1,2021,21-Jan,Presso,11,"55,000",11660,128260,605000,476740
Tra oolong nguyen la sua hanh nhan,1,2021,21-Jan,Non - Presso,13,45000,19074,247962,585000,337038
Choco vi muoi Crinkles (80gr) - 5 banh,1,2021,21-Jan,Cookie,19,29000,11100,210900,551000,340100
Latte (size M),1,2021,21-Jan,Presso,11,"50,000",10510,115610,550000,434390
Ca phe sua hanh nhan va dua,1,2021,21-Jan,Presso,11,"50,000",18552,204072,550000,345928
Ca phe Caramel (size M),1,2021,21-Jan,Presso,10,"55,000",10572,105720,550000,444280
Ca phe u lanh cam mat ong,1,2021,21-Jan,Presso,12,"45,000",9750,117000,540000,423000
Soda tac muoi (size M),1,2021,21-Jan,Non - Presso,9,"55,000",9230,83070,495000,411930
Tra sa vai (size M),1,2021,21-Jan,Non - Presso,11,"45,000",8383,92213,495000,402787
Doi qua sua hat / switch to almond milk,1,2021,21-Jan,Non- Presso,83,"5,000",7056,585648,415000,-170648
Ca phe Caramel,1,2021,21-Jan,Presso,9,"45,000",7744,69696,405000,335304
Choco vi muoi Crinkles (50gr) - 3 banh,1,2021,21-Jan,Cookie,20,"20,000",18500,370000,400000,30000
Tra oolong nguyen la sua hanh nhan (size M),1,2021,21-Jan,Non - Presso,7,"55,000",25472,178304,385000,206696
Ca phe matcha (size M),1,2021,21-Jan,Presso,7,55000,11643,81501,385000,303499
Latte,1,2021,21-Jan,Presso,8,40000,7744,61952,320000,258048
Ca phe sua dua va que,1,2021,21-Jan,Presso,6,50000,11036,66216,300000,233784
Ca phe u lanh tac muoi,1,2021,21-Jan,Presso,6,"45,000",5240,31440,270000,238560
Soda tac muoi,1,2021,21-Jan,Non - Presso,5,"45,000",8300,41500,225000,183500
Mocha,1,2021,21-Jan,Presso,5,"40,000",8028,40140,200000,159860
Americano,1,2021,21-Jan,Presso,5,"40,000",2500,12500,200000,187500
Americano (size M),1,2021,21-Jan,Presso,4,"50,000",5000,20000,200000,180000
Cappuccino,1,2021,21-Jan,Presso,4,"40,000",7744,30976,160000,129024
Biscotti (Size L - 300gr),1,2021,21-Jan,Cookie,1,"155,000",105000,105000,155000,50000
Cappuccino (size M),1,2021,21-Jan,Presso,3,"50,000",10510,31530,150000,118470
Combo Kumquat Coldbrew & 50gr Choco Crinkles,1,2021,21-Jan,Combo,2,"70,000",17610,35220,140000,104780
Combo Matcha Fusion & 50gr Choco Crinkles,1,2021,21-Jan,Combo,2,"70,000",22143,44286,140000,95714
Den Da,1,2021,21-Jan,Presso,4,"25,000",4150,16600,100000,83400
Biscotti (size M - 150gr),1,2021,21-Jan,Cookie,1,85000,52500,52500,85000,32500
Den Da (size M),1,2021,21-Jan,Presso,2,35000,4418,8836,70000,61164
Ca phe matcha,1,2021,21-Jan,Presso,1,45000,7502,7502,45000,37498
Detox,1,2021,21-Jan,Non - Presso,1,"25,000",4971,4971,25000,20029
Ca phe sua tuoi dalgona (size M),2,2021,21-Feb,Presso,137,"55,000",10001,1370137,7535000,6164863
Sua Da,2,2021,21-Feb,Presso,189,"25,000",5190,980910,4725000,3744090
Matcha Latte (size M),2,2021,21-Feb,Non - Presso,90,"50,000",7048,634320,4500000,3865680
Bac Xiu,2,2021,21-Feb,Presso,175,"25,000",6265,1096375,4375000,3278625
Tra vai mo muoi,2,2021,21-Feb,Non - Presso,96,"35,000",3668,352128,3360000,3007872
